id,policy,trials,accept_count,acceptance_rate,interval_lower,interval_upper,population_decision,certified_at_panel_size,panel_size,delta,estimation_status,decision_changed_from_declared,certification_changed_from_declared
mod-04,all_non_success_to_accept,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
mod-04,successes_only,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
pay-01,declared_map_to_reject,40,40,1.0,0.8315665290169146,1.0,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
pay-01,all_non_success_to_accept,40,40,1.0,0.8315665290169146,1.0,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
pay-01,successes_only,40,40,1.0,0.8315665290169146,1.0,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
pay-02,declared_map_to_reject,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
pay-02,all_non_success_to_accept,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
pay-02,successes_only,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
pay-03,declared_map_to_reject,40,5,0.125,0.01735787638756883,0.3673058999193304,reject,False,47,0.01,descriptive_failure_policy_sensitivity,False,False
pay-03,all_non_success_to_accept,40,7,0.175,0.03722079405511314,0.4290625920506563,reject,False,47,0.01,descriptive_failure_policy_sensitivity,False,False
pay-03,successes_only,38,5,0.13157894736842105,0.018314918028116838,0.3835384657606519,reject,False,47,0.01,descriptive_failure_policy_sensitivity,False,False
pay-04,declared_map_to_reject,40,39,0.975,0.7811454507852811,0.999984370237298,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
pay-04,all_non_success_to_accept,40,40,1.0,0.8315665290169146,1.0,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
pay-04,successes_only,39,39,1.0,0.8276430593038838,1.0,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
pmo-01,declared_map_to_reject,40,40,1.0,0.8315665290169146,1.0,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
pmo-01,all_non_success_to_accept,40,40,1.0,0.8315665290169146,1.0,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
pmo-01,successes_only,40,40,1.0,0.8315665290169146,1.0,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
pmo-02,declared_map_to_reject,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
pmo-02,all_non_success_to_accept,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
pmo-02,successes_only,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
pmo-03,declared_map_to_reject,40,3,0.075,0.004139686246041402,0.29898719425578946,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
pmo-03,all_non_success_to_accept,40,4,0.1,0.009754061002961917,0.33416432038220156,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
pmo-03,successes_only,39,3,0.07692307692307693,0.004248445206325728,0.3056179533194764,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
pmo-04,declared_map_to_reject,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
pmo-04,all_non_success_to_accept,40,2,0.05,0.0009054578133332725,0.2610386141723781,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
pmo-04,successes_only,38,0,0.0,0.0,0.17646691180696586,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
pms-01,declared_map_to_reject,40,39,0.975,0.7811454507852811,0.999984370237298,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
pms-01,all_non_success_to_accept,40,40,1.0,0.8315665290169146,1.0,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
pms-01,successes_only,39,39,1.0,0.8276430593038838,1.0,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
pms-02,declared_map_to_reject,40,1,0.025,1.562976270194556e-05,0.21885454921471933,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
pms-02,all_non_success_to_accept,40,2,0.05,0.0009054578133332725,0.2610386141723781,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
pms-02,successes_only,39,1,0.02564102564102564,1.6030522635911e-05,0.22385341310937945,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
pms-03,declared_map_to_reject,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
pms-03,all_non_success_to_accept,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
pms-03,successes_only,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
